,Energy_Generated_KWh,Temperature_C,apparent_zenith,azimuth,poa_global
2012-07-26,11.694076503293287,25.156147083105335,98.54049171590661,67.7251615190404,1299.3418336992543
2012-07-27,11.678308657145928,23.46756536744582,98.60471830226011,67.94273089724328,1297.589850793992
2012-07-28,12.19484356643372,24.98551442889013,98.66800673948276,68.16618043502808,1354.9826184926353
2012-07-29,11.188657668407986,22.055767887576266,98.73030868775773,68.39544161240536,1243.1841853786652
2012-07-30,11.693931820669267,24.42233074972798,98.79158244095845,68.63044372358263,1299.3257578521407
2012-07-31,11.782149607962571,22.030926888292417,98.85179239962636,68.87111472993706,1309.1277342180636
2012-08-01,12.719780839621892,26.87439914046009,98.91090828952653,69.117381985728,1413.3089821802103
2012-08-02,12.544056242358769,22.024826428383353,98.96890414867148,69.3691725302445,1393.784026928752
2012-08-03,12.383808827778637,20.395546406936546,99.02575711645589,69.62641281092738,1375.9787586420707
2012-08-04,10.808136423818917,24.79217755391881,99.08144614321371,69.8890279884119,1200.9040470909906
2012-08-05,12.233571399553337,22.970779124587285,99.135950815292,70.15694117848136,1359.2857110614818
2012-08-06,11.826337199574269,21.589743751567234,99.1892505001343,70.43007295533323,1314.0374666193632
2012-08-07,11.747930146153232,25.252801786809044,99.24132393081076,70.70834122013889,1305.3255717948036
2012-08-08,11.702505677142542,22.294907848155944,99.29214921246174,70.991661319007,1300.2784085713934
2012-08-09,12.199900316629613,24.911778743101348,99.34170411814945,71.27994623220508,1355.5444796255126
2012-08-10,12.654156779120742,19.597963255069804,99.38996649788517,71.57310674510182,1406.0174199023047
2012-08-11,12.18778729424376,22.072059261309136,99.43691465152986,71.87105161880368,1354.1985882493066
2012-08-12,11.454701987056426,24.12547048683486,99.4825275665757,72.17368780184677,1272.7446652284916
2012-08-13,11.772757429489053,22.706540757669366,99.5267849916003,72.4809206707859,1308.084158832117
2012-08-14,12.341868658040253,25.73736806260566,99.56966734458635,72.79265426347831,1371.3187397822503
2012-08-15,11.726933601527177,24.835500679630886,99.61115553212956,73.10879149492553,1302.9926223919085
2012-08-16,11.992177247338699,23.56570008404921,99.65123078048393,73.42923439868463,1332.4641385931889
2012-08-17,11.598493539901156,23.988303164572176,99.68987461838428,73.75388441164495,1288.7215044334616
2012-08-18,11.60477968280646,21.8740942667714,99.72706912703484,74.08264262865657,1289.4199647562734
2012-08-19,12.608774221238685,21.763105937788595,99.76279748880293,74.4154098851352,1400.9749134709648
2012-08-20,12.604332828990584,23.006127638517377,99.79704481023126,74.75208655692558,1400.4814254433984
2012-08-21,11.33176165495095,24.414450006601044,99.82979911878776,75.092572119885,1259.0846283278834
2012-08-22,12.36623386923601,21.451602922901312,99.86105244609627,75.43676465502386,1374.0259854706676
2012-08-23,12.33446088317576,22.592656569543507,99.89080191056657,75.78456053233896,1370.4956536861955
2012-08-24,11.019310978373337,21.59483284155698,99.9190507238097,76.13585441931514,1224.3678864859262
2012-08-25,12.001319853942174,26.98219585472269,99.945809027187,76.49053961866514,1333.4799837713526
2012-08-26,12.08685920435215,21.782891750369448,99.97109444823806,76.8485086309833,1342.9843560391278
2012-08-27,11.921648676352165,22.43478746103649,99.9949322684956,77.2096537992245,1324.627630705796
2012-08-28,12.056136222250235,20.27018869991148,100.01735515342675,77.57386788906393,1339.570691361137
2012-08-29,12.509544566220685,22.614952356002867,100.0384024431608,77.94104447487985,1389.9493962467425
2012-08-30,12.191460549259363,22.44628228891835,100.05811908714233,78.31107801901356,1354.6067276954846
2012-08-31,11.694810251575015,20.906898666136144,100.07655433982151,78.68386360118723,1299.4233612861128
2012-09-01,12.944653121413848,27.04634641081585,100.09376037351178,79.0592963638424,1438.2947912682052
2012-09-02,11.915519572925824,24.73855649093536,100.10979098298658,79.43727084770717,1323.9466192139805
2012-09-03,11.22523353947496,25.110399853236054,100.1247005428508,79.81768043083355,1247.2481710527734
2012-09-04,11.70572623762815,21.797132389157763,100.1385433331742,80.20041701856155,1300.6362486253502
2012-09-05,12.643878873084304,22.876369354204733,100.15137324742523,80.58537100744906,1404.8754303427004
2012-09-06,11.974088815979728,24.055083433955097,100.16324380037338,80.97243143586991,1330.4543128866364
2012-09-07,12.373140984041443,23.65131037303735,100.17420828908537,81.36148620248343,1374.7934426712716
2012-09-08,12.273338001721283,23.273918766105297,100.18431995802509,81.752422274227,1363.704222413476
2012-09-09,12.094693972348866,21.75614731661827,100.1936320556314,82.14512586692553,1343.8548858165404
2012-09-10,12.2151424512346,22.727691088320615,100.20219773253025,82.5394826101197,1357.2380501371779
2012-09-11,11.787198061080085,24.372211419395093,100.21006977351769,82.93537770764493,1309.6886734533427
2012-09-12,11.902492893399842,24.385929805459348,100.2173002080581,83.33269610167531,1322.4992103777602
2012-09-13,11.92513975461985,21.132050448873827,100.22393989407485,83.73132266266293,1325.0155282910946
2012-09-14,11.081583159738077,24.052244933533533,100.2300381993829,84.13114243489906,1231.2870177486752
2012-09-15,11.886830593860713,24.287376959857234,100.23564291385655,84.53204091831566,1320.7589548734127
2012-09-16,11.761347229425832,24.049147799009248,100.2408004507756,84.93390428133318,1306.8163588250925
2012-09-17,11.987604206302294,21.48672272971279,100.24555634273074,85.33661933626342,1331.9560229224771
2012-09-18,12.401117026656294,24.44424653914609,100.24995597935936,85.74007317820661,1377.9018918506993
2012-09-19,12.584874900521122,26.9104078515632,100.25404553443816,86.14415258271958,1398.3194333912359
2012-09-20,12.232303746074583,24.4595225190026,100.25787305846468,86.54874345373025,1359.1448606749536
2012-09-21,12.481227105020848,25.818381306867607,100.26148967563559,86.95373065625984,1386.803011668983
2012-09-22,12.930097617815369,23.633454233484983,100.26495077784583,87.35899837851298,1436.6775130905967
2012-09-23,12.288824124830185,25.173926254980373,100.26831702143694,87.76443087783355,1365.4249027589094
2012-09-24,11.847629826872517,24.165311721612333,100.27165491379213,88.16991327042433,1316.4033140969464
2012-09-25,12.04401769301674,25.053569124159676,100.27503685832468,88.57533205105233,1338.2241881129712
2012-09-26,12.287692891150455,22.93365092016692,100.27854063077184,88.98057522870198,1365.2992101278282
2012-09-27,12.006513064442256,23.818748132591548,100.28224839742785,89.38553214610727,1334.0570071602506
2012-09-28,12.108734311783955,23.167170850701254,100.28624543763102,89.79009310975147,1345.4149235315506
2012-09-29,12.416190453556654,25.581941303191254,100.29061874883739,90.19414890782991,1379.5767170618506
2012-09-30,12.251088160768852,27.513513288313405,100.29545570771612,90.59759025472965,1361.2320178632058
2012-10-01,12.585260801955137,25.503256198548964,100.30084293219011,91.00030723878018,1398.3623113283486
2012-10-02,12.139741872914449,24.478779734906812,100.30686545277382,91.4021889037013,1348.8602081016054
2012-10-03,11.58554810230742,25.553153938368055,100.31360623023339,91.80312307157305,1287.2831224786023
2012-10-04,12.566922699680067,21.454754420714508,100.32114596570807,92.20299640338663,1396.324744408896
2012-10-05,12.360797943453974,26.83113598524983,100.32956309033425,92.60169458158833,1373.4219937171083
2012-10-06,12.25050467999933,23.562674495893116,100.33893379321998,92.99910249072451,1361.167186666592
2012-10-07,12.200477246446248,25.857559481048913,100.34933197582306,93.39510435234507,1355.608582938472
2012-10-08,12.166134062518923,23.752527641477098,100.36082905679396,93.7895838466651,1351.7926736132138
2012-10-09,13.419092350023565,22.200660951831,100.37349360538497,94.18242425008066,1491.0102611137293
2012-10-10,12.806267942939547,22.301521089184735,100.38739082462976,94.57350857727795,1422.9186603266162
2012-10-11,12.377714334195032,21.064464233984012,100.40258195761858,94.96271972081513,1375.3015926883368
2012-10-12,12.96898411644388,21.089298079418214,100.41912374423072,95.34994063688055,1440.9982351604308
2012-10-13,12.265666837036628,25.352130647262964,100.43706803930704,95.73505464521645,1362.8518707818475
2012-10-14,12.265001945228006,21.856134618302104,100.45646167693107,96.11794579523246,1362.7779939142229
